rollno,register_sem,schedule_sem,subno,grade1,date_of_entry1,grade2,date_of_entry2,sub_type
2012MA09,3,3,MA591,,3/25/2021 12:05,,3/25/2021 12:05,CORE
2011EE09,3,3,EE595,,3/24/2021 20:40,,3/24/2021 20:40,CORE
2012MA14,3,3,MA529,,3/22/2021 21:28,,3/22/2021 21:28,Elective - I
2012MA10,3,3,MA521,,3/22/2021 15:23,,3/22/2021 15:23,CORE
2012CH19,3,3,CH525,,3/23/2021 10:22,,3/23/2021 10:22,CORE
2011EE10,3,3,EE595,,4/7/2021 22:33,,4/7/2021 22:33,CORE
2012PH03,3,3,PH523,,3/22/2021 20:47,,3/22/2021 20:47,CORE
2012MA14,3,3,MA591,,3/22/2021 21:28,,3/22/2021 21:28,CORE
2012MA11,3,3,MA591,,3/22/2021 18:06,,3/22/2021 18:06,CORE
2012MA10,3,3,MA523,,3/22/2021 15:23,,3/22/2021 15:23,CORE
2012MA08,3,3,MA521,,3/25/2021 20:57,,3/25/2021 20:57,CORE
2012CH19,3,3,CH527,,3/23/2021 10:22,,3/23/2021 10:22,CORE
2012CH08,3,3,CH521,,3/23/2021 10:12,,3/23/2021 10:12,CORE
2011EE12,3,3,EE595,,3/25/2021 18:42,,3/25/2021 18:42,CORE
2012PH13,3,3,PH591,,3/24/2021 22:51,,3/24/2021 22:51,CORE
2012PH03,3,3,PH525,,3/22/2021 20:47,,3/22/2021 20:47,CORE
2012MA15,3,3,MA521,,3/24/2021 22:40,,3/24/2021 22:40,CORE
1801CB05,7,7,CB409,,7/23/2021 10:50,,7/23/2021 10:50,CORE
2012MA13,3,3,MA529,,3/23/2021 13:43,,3/23/2021 13:43,Elective - I
2012MA12,3,3,MA521,,3/24/2021 14:44,,3/24/2021 14:44,CORE
2012MA10,3,3,MA591,,3/22/2021 15:23,,3/22/2021 15:23,CORE
2012MA10,3,3,MA525,,3/22/2021 15:23,,3/22/2021 15:23,CORE
2012MA09,3,3,MA521,,3/25/2021 12:05,,3/25/2021 12:05,CORE
2012MA08,3,3,MA523,,3/25/2021 20:57,,3/25/2021 20:57,CORE
2012MA05,3,3,MA529,,3/24/2021 9:58,,3/24/2021 9:58,Elective - II
2012CH19,3,3,CH530,,3/23/2021 10:22,,3/23/2021 10:22,CORE
2012CH12,3,3,CH527,,3/25/2021 21:20,,3/25/2021 21:20,CORE
2012CH08,3,3,CH523,,3/23/2021 10:12,,3/23/2021 10:12,CORE
2011MT12,3,3,MH603,,3/22/2021 11:59,,3/22/2021 11:59,CORE
2011EE13,3,3,EE595,,3/22/2021 11:21,,3/22/2021 11:21,CORE
2012PH20,3,3,PH521,,3/25/2021 11:02,,3/25/2021 11:02,CORE
2012PH13,3,3,PH601,,3/24/2021 22:51,,3/24/2021 22:51,Elective - I
2012PH09,3,3,PH521,,3/24/2021 18:32,,3/24/2021 18:32,CORE
2012PH03,3,3,PH527,,3/22/2021 20:47,,3/22/2021 20:47,CORE
2012MA15,3,3,MA525,,3/24/2021 22:40,,3/24/2021 22:40,CORE
2012MA15,3,3,MA523,,3/24/2021 22:40,,3/24/2021 22:40,CORE
1801CB10,7,7,CB417,,7/23/2021 11:14,,7/23/2021 11:14,CORE
1801CB10,7,7,PH401,,7/23/2021 11:14,,7/23/2021 11:14,Open Elective - III
2012MA14,3,3,MA525,,3/22/2021 21:28,,3/22/2021 21:28,CORE
2012MA13,3,3,MA533,,3/23/2021 13:43,,3/23/2021 13:43,Elective - II
1801CB05,7,7,PH403,,7/23/2021 10:50,,7/23/2021 10:50,Open Elective - III
2012MA12,3,3,MA523,,3/24/2021 14:44,,3/24/2021 14:44,CORE
2012MA11,3,3,MA529,,3/22/2021 18:06,,3/22/2021 18:06,Elective - I
2012MA11,3,3,MA521,,3/22/2021 18:06,,3/22/2021 18:06,CORE
1801CB12,7,7,CB401,,7/23/2021 12:09,,7/23/2021 12:09,CORE
2012MA10,3,3,MA529,,3/22/2021 15:23,,3/22/2021 15:23,Elective - I
1801CB12,7,7,CB407,,7/23/2021 12:09,,7/23/2021 12:09,CORE
2012MA09,3,3,MA523,,3/25/2021 12:05,,3/25/2021 12:05,CORE
2012MA08,3,3,MA527,,3/25/2021 20:57,,3/25/2021 20:57,Elective - I
2012MA08,3,3,MA525,,3/25/2021 20:57,,3/25/2021 20:57,CORE
2121EE01,2,2,EE523,,3/25/2021 23:29,,3/25/2021 23:29,CREDIT
2012MA05,3,3,MA591,,3/24/2021 9:58,,3/24/2021 9:58,CORE
2012CH22,3,3,CH525,,3/23/2021 10:16,,3/23/2021 10:16,CORE
2012CH19,3,3,CH591,,3/23/2021 10:22,,3/23/2021 10:22,CORE
2012CH16,3,3,CH591,,3/25/2021 10:26,,3/25/2021 10:26,CORE
2012CH12,3,3,CH530,,3/25/2021 21:20,,3/25/2021 21:20,CORE
2012CH10,3,3,CH530,,3/24/2021 22:19,,3/24/2021 22:19,CORE
2012CH08,3,3,CH525,,3/23/2021 10:12,,3/23/2021 10:12,CORE
2012CH05,3,3,CH605,,3/24/2021 20:26,,3/24/2021 20:26,Elective - I
2011MT14,3,3,MH603,,3/24/2021 15:17,,3/24/2021 15:17,CORE
2011MC07,3,3,MA603,,3/22/2021 21:33,,3/22/2021 21:33,CORE
2011EE14,3,3,EE595,,3/22/2021 10:12,,3/22/2021 10:12,CORE
2121CB10,2,2,CB501,,3/24/2021 23:16,,3/24/2021 23:16,AUDIT
2012PH20,3,3,PH523,,3/25/2021 11:02,,3/25/2021 11:02,CORE
2012PH16,3,3,PH604,,3/24/2021 20:07,,3/24/2021 20:07,Elective - I
2012PH14,3,3,PH521,,3/25/2021 9:08,,3/25/2021 9:08,CORE
2012PH11,3,3,PH525,,3/24/2021 20:13,,3/24/2021 20:13,CORE
2012PH09,3,3,PH523,,3/24/2021 18:32,,3/24/2021 18:32,CORE
2012PH07,3,3,PH521,,3/23/2021 20:02,,3/23/2021 20:02,CORE
2012PH03,3,3,PH591,,3/22/2021 20:47,,3/22/2021 20:47,CORE
2012MA19,3,3,MA523,,3/25/2021 21:53,,3/25/2021 21:53,CORE
2012MA15,3,3,MA529,,3/24/2021 22:40,,3/24/2021 22:40,Elective - I
1801CB10,7,7,CB409,,7/23/2021 11:14,,7/23/2021 11:14,CORE
1801CB05,7,7,CB407,,7/23/2021 10:50,,7/23/2021 10:50,CORE
1801CB20,7,7,CB401,,7/24/2021 10:07,,7/24/2021 10:07,CORE
1801CB20,7,7,CB405,,7/24/2021 10:07,,7/24/2021 10:07,CORE
1801CB20,7,7,CB407,,7/24/2021 10:07,,7/24/2021 10:07,CORE
1801CB20,7,7,CB409,,7/24/2021 10:07,,7/24/2021 10:07,CORE
1801CB05,7,7,CB417,,7/23/2021 10:50,,7/23/2021 10:50,CORE
2012MA14,3,3,MA527,,3/22/2021 21:28,,3/22/2021 21:28,Elective - II
2012MA14,3,3,MA523,,3/22/2021 21:28,,3/22/2021 21:28,CORE
2012MA13,3,3,MA591,,3/23/2021 13:43,,3/23/2021 13:43,CORE
1801CB21,7,7,CB407,,7/23/2021 13:54,,7/23/2021 13:54,CORE
1801CB11,7,7,CB407,,7/23/2021 10:48,,7/23/2021 10:48,CORE
2012MA12,3,3,MA529,,3/24/2021 14:44,,3/24/2021 14:44,Elective - II
